episode,seed,virtual_time_s,avg_time_per_source_s,n_measure,n_clear
1,0,4487.43,280.464,133,16
2,1,4752.346,432.031,176,11
3,2,6164.989,385.312,171,23
4,3,4472.347,406.577,156,11
5,4,4083.124,371.193,151,11
6,5,5008.087,357.721,158,20
7,6,4456.098,278.506,149,16
8,7,4198.016,349.835,147,12
9,8,4442.251,403.841,153,12
10,9,6212.098,477.854,171,13
11,10,4930.265,352.162,143,18
12,11,4682.375,360.183,165,13
13,12,4576.781,352.06,159,13
14,13,4279.576,356.631,148,12
15,14,5183.977,518.398,171,16
16,15,4376.684,397.88,142,11
17,16,4943.007,411.917,166,12
18,17,4685.342,334.667,141,14
19,18,4218.013,383.456,159,11
20,19,4326.577,288.438,141,15
