generation,q1,median,q3,best
0,0.0,0.0,0.0132688,0.0
1,0.0,0.0,0.0132688,0.0
6,0.100443,0.228889,0.384675,0.00397466
11,0.0920702,0.207713,0.368651,0.00397466
16,0.0897651,0.205029,0.362118,0.00397466
21,0.0854288,0.199644,0.358824,0.00397466
26,0.0854288,0.199081,0.349675,0.00397466
31,0.0854288,0.199078,0.349599,0.00397466
36,0.0854288,0.199038,0.349589,0.00397466
41,0.0854288,0.199038,0.349569,0.00397466
46,0.0854288,0.199027,0.349554,0.00397466
51,0.0854288,0.199027,0.349554,0.00397466
56,0.084972,0.199027,0.349493,0.00397466
61,0.084972,0.199027,0.349493,0.00397466
66,0.084972,0.199025,0.34949,0.00397466
71,0.084972,0.199025,0.34949,0.00397466
76,0.084972,0.199024,0.34949,0.00397466
81,0.084972,0.199024,0.34949,0.00397466
86,0.084972,0.199024,0.34949,0.00397466
91,0.084972,0.199024,0.34949,0.00397466
96,0.084972,0.199024,0.34949,0.00397466
101,0.084972,0.199024,0.349489,0.0039277
106,0.084972,0.199024,0.349489,0.0039277
111,0.084972,0.199024,0.348663,0.0039277
116,0.084972,0.199024,0.348663,0.0039277
121,0.084972,0.199024,0.348663,0.0039277
126,0.084972,0.199024,0.348663,0.00387254
131,0.084972,0.199024,0.346783,0.00352306
136,0.084972,0.199024,0.346477,0.00352306
141,0.084972,0.199024,0.339032,0.00352306
146,0.084972,0.199024,0.339032,0.00352306
150,0.0849457,0.199024,0.339032,0.00352306
