episode,label,n_points,initial_m,final_m,improve_pct
1,滚动重规划,8,8144.77,8116.69,0.346
1,滚动重规划,10,7157.88,7157.88,0.0
1,滚动重规划,9,6286.42,6286.42,0.0
1,滚动重规划,11,9572.57,8100.0,18.18
1,滚动重规划,10,7741.87,7576.1,2.188
1,滚动重规划,9,7086.08,6920.31,2.395
1,滚动重规划,8,6341.14,6175.38,2.684
1,滚动重规划,10,8995.92,6848.09,31.364
1,滚动重规划,9,6056.31,6056.31,0.0
1,滚动重规划,8,5348.13,5348.13,0.0
1,滚动重规划,8,5383.18,5283.47,1.887
1,滚动重规划,7,5106.25,5106.25,0.0
1,滚动重规划,6,4891.41,4891.41,0.0
1,滚动重规划,5,4451.08,4451.08,0.0
1,滚动重规划,6,3958.3,3958.3,0.0
1,滚动重规划,5,3268.79,3268.79,0.0
1,滚动重规划,4,3130.53,3130.53,0.0
1,滚动重规划,3,2290.79,2290.79,0.0
1,滚动重规划,5,3223.31,3223.31,0.0
1,滚动重规划,4,2863.57,2863.57,0.0
1,滚动重规划,3,1916.44,1916.44,0.0
1,清除顺序,3,1186.39,1186.39,0.0
2,滚动重规划,8,8144.77,8116.69,0.346
2,滚动重规划,7,6748.48,6748.48,0.0
2,滚动重规划,7,7717.32,7717.32,0.0
2,滚动重规划,8,9155.87,8512.19,7.562
2,滚动重规划,8,8504.94,8504.94,0.0
2,滚动重规划,7,8066.38,8066.38,0.0
2,滚动重规划,7,7965.7,7965.7,0.0
2,滚动重规划,6,7331.99,7331.99,0.0
2,滚动重规划,9,7495.64,7356.88,1.886
2,滚动重规划,8,6850.91,6712.15,2.067
2,滚动重规划,7,6226.58,6226.58,0.0
2,滚动重规划,6,5932.88,5932.88,0.0
2,滚动重规划,7,7209.83,6587.43,9.448
2,滚动重规划,6,6821.08,5954.73,14.549
2,滚动重规划,5,4541.26,4541.26,0.0
2,滚动重规划,4,3784.92,3784.92,0.0
2,清除顺序,3,3463.76,3463.76,0.0
3,滚动重规划,8,8144.77,8116.69,0.346
3,滚动重规划,8,6841.23,6841.23,0.0
3,滚动重规划,10,7838.88,7788.34,0.649
3,滚动重规划,9,7221.62,7171.08,0.705
3,滚动重规划,8,6768.81,6715.16,0.799
3,滚动重规划,10,7401.17,7222.14,2.479
3,滚动重规划,9,6264.72,6264.72,0.0
3,滚动重规划,8,5742.24,5742.24,0.0
3,滚动重规划,7,4927.82,4927.82,0.0
3,滚动重规划,6,4462.21,4462.21,0.0
3,滚动重规划,7,5726.48,4349.48,31.659
3,滚动重规划,6,3286.25,3286.25,0.0
3,滚动重规划,5,2793.63,2793.63,0.0
3,滚动重规划,4,2326.36,2326.36,0.0
3,滚动重规划,5,3653.68,3653.68,0.0
3,滚动重规划,4,2702.76,2702.76,0.0
3,滚动重规划,5,2879.27,2879.27,0.0
3,清除顺序,7,6047.47,6047.47,0.0
4,滚动重规划,8,8124.55,8116.69,0.097
4,滚动重规划,10,6802.43,6802.43,0.0
4,滚动重规划,9,6282.34,6282.34,0.0
4,滚动重规划,8,6157.99,6157.99,0.0
4,滚动重规划,10,8158.31,8158.31,0.0
4,滚动重规划,9,7550.91,7550.91,0.0
4,滚动重规划,8,7348.54,7348.54,0.0
4,滚动重规划,7,6610.98,6610.98,0.0
4,滚动重规划,9,6648.29,6636.08,0.184
4,滚动重规划,8,6094.38,6094.38,0.0
4,滚动重规划,7,6020.55,6020.55,0.0
4,滚动重规划,7,5278.94,5278.94,0.0
4,滚动重规划,6,4553.48,4553.48,0.0
4,滚动重规划,5,3534.12,3534.12,0.0
4,滚动重规划,4,3233.06,3233.06,0.0
4,清除顺序,4,2547.77,2490.38,2.304
5,滚动重规划,8,8144.77,8116.69,0.346
5,滚动重规划,9,8773.99,8197.89,7.027
5,滚动重规划,8,8147.65,7571.55,7.609
5,滚动重规划,7,7308.76,6776.68,7.852
5,滚动重规划,7,6770.35,6770.35,0.0
5,滚动重规划,6,6299.49,6299.49,0.0
5,滚动重规划,9,6371.87,6173.24,3.218
5,滚动重规划,8,6083.23,5884.6,3.375
5,滚动重规划,7,5925.74,5727.11,3.468
5,滚动重规划,6,4754.24,4754.24,0.0
5,滚动重规划,7,5508.71,5303.58,3.868
5,滚动重规划,6,5216.08,5010.95,4.094
5,滚动重规划,5,4216.54,4216.54,0.0
5,滚动重规划,4,3912.57,3912.57,0.0
5,滚动重规划,3,2550.22,2550.22,0.0
5,滚动重规划,2,1532.59,1532.59,0.0
5,滚动重规划,3,1654.45,1654.45,0.0
5,清除顺序,2,722.73,722.73,0.0
6,滚动重规划,8,8144.77,8116.69,0.346
6,滚动重规划,10,8694.58,7951.72,9.342
6,滚动重规划,9,8099.61,7356.75,10.098
6,滚动重规划,8,7789.12,7066.67,10.223
6,滚动重规划,9,6781.83,6781.83,0.0
6,滚动重规划,8,6119.92,6119.92,0.0
6,滚动重规划,8,7149.84,7149.84,0.0
6,滚动重规划,7,6523.08,6523.08,0.0
6,滚动重规划,6,5273.45,5273.45,0.0
6,滚动重规划,8,8892.36,7572.36,17.432
6,滚动重规划,7,6806.85,6602.82,3.09
6,滚动重规划,6,5050.68,4846.65,4.21
6,滚动重规划,5,3723.64,3723.64,0.0
6,滚动重规划,4,3460.18,3460.18,0.0
6,滚动重规划,4,3672.4,3672.4,0.0
6,滚动重规划,3,2893.66,2893.66,0.0
6,滚动重规划,3,1411.28,1411.28,0.0
