step,x,y
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,1320.0,-360.0
22,1320.0,-360.0
23,1320.0,-360.0
24,1320.0,-360.0
25,1320.0,-360.0
26,1320.0,-360.0
27,1320.0,-360.0
28,1320.0,-360.0
29,1320.0,-360.0
30,1320.0,-360.0
31,1320.0,-360.0
32,1320.0,-360.0
33,1320.0,-360.0
34,1320.0,-360.0
35,1320.0,-360.0
36,1320.0,-360.0
37,1320.0,-360.0
38,1320.0,-360.0
39,1320.0,-360.0
40,1320.0,-360.0
41,1080.0,520.0
42,1080.0,520.0
43,1080.0,520.0
44,1080.0,520.0
45,1080.0,520.0
46,1080.0,520.0
47,1080.0,520.0
48,1080.0,520.0
49,1080.0,520.0
50,1080.0,520.0
51,1080.0,520.0
52,1080.0,520.0
53,1080.0,520.0
54,1080.0,520.0
55,1080.0,520.0
56,1080.0,520.0
57,1080.0,520.0
58,1080.0,520.0
59,1080.0,520.0
60,1080.0,520.0
61,360.0,840.0
62,360.0,840.0
63,360.0,840.0
64,360.0,840.0
65,360.0,840.0
66,360.0,840.0
67,360.0,840.0
68,360.0,840.0
69,360.0,840.0
70,360.0,840.0
71,360.0,840.0
72,360.0,840.0
73,360.0,840.0
74,360.0,840.0
75,360.0,840.0
76,360.0,840.0
77,360.0,840.0
78,360.0,840.0
79,-360.0,1000.0
80,-360.0,1000.0
81,-360.0,1000.0
82,-360.0,1000.0
83,-360.0,1000.0
84,-360.0,1000.0
85,-360.0,1000.0
86,-360.0,1000.0
87,-360.0,1000.0
88,-360.0,1000.0
89,-360.0,1000.0
90,-360.0,1000.0
91,-360.0,1000.0
92,-360.0,1000.0
93,-360.0,1000.0
94,-1080.0,360.0
95,-1080.0,360.0
96,-1080.0,360.0
97,-1080.0,360.0
98,-1080.0,360.0
99,-1080.0,360.0
100,-1080.0,360.0
101,-1080.0,360.0
102,-1080.0,360.0
103,-1080.0,360.0
104,-1080.0,360.0
105,-1080.0,360.0
106,-1160.0,-1000.0
107,-1160.0,-1000.0
108,-1160.0,-1000.0
109,-1160.0,-1000.0
110,-1160.0,-1000.0
111,-1160.0,-1000.0
112,-1160.0,-1000.0
113,-1160.0,-1000.0
114,-1160.0,-1000.0
115,-1160.0,-1000.0
116,-1160.0,-1000.0
117,-120.0,-840.0
118,-120.0,-840.0
119,-120.0,-840.0
120,-120.0,-840.0
121,-120.0,-840.0
122,-120.0,-840.0
123,-120.0,-840.0
124,-120.0,-840.0
125,-120.0,-840.0
126,360.0,-1640.0
127,360.0,-1640.0
128,360.0,-1640.0
129,360.0,-1640.0
130,360.0,-1640.0
131,360.0,-1640.0
132,360.0,-1640.0
133,360.0,-1640.0
134,324.89,-1449.65
135,651.15,-1214.65
136,1241.03,-1246.65
137,232.02,-765.83
138,-427.72,-1445.54
139,-753.72,-265.23
140,-649.32,-176.54
141,-302.67,540.14
142,-427.05,962.54
143,-391.28,1173.72
144,39.69,999.34
145,295.24,1670.71
146,803.15,516.18
147,1171.35,491.55
148,1568.9,331.75
149,1412.85,942.03
