episode,seed,n_sources,cleared,clear_ratio,virtual_time_s,avg_time_s,n_measure,n_clear,ga_runs,localize_rms_deg,n_located,localize_err_mean_m,localize_err_max_m
1,0,16,16,1.0,4487.430207,280.4643879375,133,16,18,0.16850882199236805,16,6.626297457323652,13.3052488596372
2,1,11,11,1.0,4752.345733,432.0314302727273,176,11,13,0.05178345697646339,11,6.883035579787374,11.560430202149195
3,2,16,16,1.0,6164.989462,385.311841375,171,23,21,0.10522686675023565,16,9.2685728499128,19.429793040587175
4,3,11,11,1.0,4472.346759,406.5769780909091,156,11,19,0.12094685645103095,11,6.975277659086786,11.715011318115797
5,4,11,11,1.0,4083.124026,371.19309327272725,151,11,13,0.22542388360184235,11,5.7361426312906305,8.733387797018738
6,5,14,14,1.0,5008.087043,357.7205030714286,158,20,16,0.12522957201153112,14,7.602998909300382,16.329207092378567
7,6,16,16,1.0,4456.098053,278.5061283125,149,16,18,0.1966199951582257,16,6.567590857676276,18.258127767067524
8,7,12,12,1.0,4198.016044,349.83467033333335,147,12,14,0.13587529094537662,12,6.30925988980875,14.495187567846434
9,8,11,11,1.0,4442.250837,403.84098518181816,153,12,13,0.1309505465298075,11,8.277598773624318,13.022948402693375
10,9,13,13,1.0,6212.097629,477.85366376923076,171,13,18,0.06977835397390625,13,6.507684759188335,18.797431629656753
11,10,14,14,1.0,4930.265204,352.1618002857143,143,18,16,0.1855864004151591,14,5.183416564201159,13.453054849553926
12,11,13,13,1.0,4682.374533,360.18265638461537,165,13,15,0.08905829310309375,13,7.482547655202362,19.652916874754176
13,12,13,13,1.0,4576.781221,352.0600939230769,159,13,18,0.18255490411804493,13,7.83932562090088,16.8858523214101
14,13,12,12,1.0,4279.575626,356.63130216666667,148,12,17,0.19856404990469795,12,5.700642498872491,15.620546041888199
15,14,10,10,1.0,5183.977063,518.3977063,171,16,15,0.1614209897588169,10,5.401015238588297,10.168439452297422
16,15,11,11,1.0,4376.684442,397.8804038181818,142,11,13,0.24535585532454574,11,4.684277661645471,10.714386383349355
17,16,12,12,1.0,4943.00659,411.91721583333333,166,12,23,0.10126298883765139,12,6.091066583505053,11.621790495169433
18,17,14,14,1.0,4685.342411,334.66731507142856,141,14,16,0.11799284643932485,14,5.157955321713778,15.560586805661435
19,18,11,11,1.0,4218.012872,383.45571563636366,159,11,13,0.20799773301500354,11,6.837909879419431,12.149134998408979
20,19,15,15,1.0,4326.577117,288.43847446666666,141,15,17,0.1276124869460489,15,6.310451878664212,17.1120360811331
