episode,ga,label,seed,generation,best,mean,std
1,route,覆盖路点巡回,1826701615,0,8599.14,14330.4,1792.22
1,route,覆盖路点巡回,1826701615,1,8599.14,13206.1,1486.36
1,route,覆盖路点巡回,1826701615,6,8599.14,12372.6,1532.31
1,route,覆盖路点巡回,1826701615,11,8599.14,12481,1520.31
1,route,覆盖路点巡回,1826701615,16,8599.14,11863,1719.1
1,route,覆盖路点巡回,1826701615,21,8599.14,10915.3,1683.73
1,route,覆盖路点巡回,1826701615,26,8599.14,10708.1,1663.35
1,route,覆盖路点巡回,1826701615,31,8599.14,10976.5,1848
1,route,覆盖路点巡回,1826701615,36,8599.14,10836.6,1601.29
1,route,覆盖路点巡回,1826701615,41,8599.14,11011.6,1717.59
1,route,覆盖路点巡回,1826701615,46,8599.14,10821.7,1835.45
1,route,覆盖路点巡回,1826701615,51,8599.14,11093.6,1740.58
1,route,覆盖路点巡回,1826701615,56,8599.14,11137.1,1872.41
1,route,覆盖路点巡回,1826701615,61,8599.14,10975.3,1808.44
1,route,覆盖路点巡回,1826701615,66,8599.14,10472.2,1696.32
1,route,覆盖路点巡回,1826701615,71,8599.14,10556.6,1541.57
1,route,覆盖路点巡回,1826701615,76,8599.14,9940.91,1602.92
1,route,覆盖路点巡回,1826701615,81,8599.14,10275.3,1771.85
1,route,覆盖路点巡回,1826701615,86,8599.14,10213,1512.87
1,route,覆盖路点巡回,1826701615,91,8599.14,10369.3,1537.43
1,route,覆盖路点巡回,1826701615,96,8599.14,10575.7,1599.43
1,route,覆盖路点巡回,1826701615,101,8599.14,10218.2,1591.16
1,route,覆盖路点巡回,1826701615,106,8599.14,10495.5,1703.2
1,route,覆盖路点巡回,1826701615,111,8599.14,10664.1,1796.12
1,route,覆盖路点巡回,1826701615,116,8599.14,10426.4,1857.65
1,route,覆盖路点巡回,1826701615,121,8599.14,10239.7,1438.89
1,route,覆盖路点巡回,1826701615,126,8599.14,10042.3,1607.08
1,route,覆盖路点巡回,1826701615,131,8599.14,10103.7,1634.15
1,route,覆盖路点巡回,1826701615,136,8599.14,9898.55,1673.64
1,route,覆盖路点巡回,1826701615,141,8599.14,9876.09,1598.88
1,route,覆盖路点巡回,1826701615,146,8599.14,10011.4,1587.01
1,route,覆盖路点巡回,1826701615,151,8599.14,9840.96,1661.31
1,route,覆盖路点巡回,1826701615,156,8599.14,9876.27,1528.11
1,route,覆盖路点巡回,1826701615,161,8599.14,10056.8,1684.91
1,route,覆盖路点巡回,1826701615,166,8599.14,9969.14,1743.5
1,route,覆盖路点巡回,1826701615,171,8599.14,9668.35,1569.89
1,route,覆盖路点巡回,1826701615,176,8599.14,9884.71,1675.66
1,route,覆盖路点巡回,1826701615,181,8599.14,9803.63,1607.96
1,route,覆盖路点巡回,1826701615,186,8599.14,9777.37,1608.76
1,route,覆盖路点巡回,1826701615,191,8599.14,10072.8,1660.04
1,route,覆盖路点巡回,1826701615,196,8599.14,9985.24,1728.61
1,route,覆盖路点巡回,1826701615,201,8599.14,9493.66,1286.77
1,route,覆盖路点巡回,1826701615,206,8599.14,9576.52,1533.1
1,route,覆盖路点巡回,1826701615,211,8599.14,9781.03,1541.06
1,route,覆盖路点巡回,1826701615,216,8599.14,9494.22,1344.35
