x_m,y_m,worst_source_dist_m,testable,worst_diam_m,suitability
-1800.0,-1800.0,3771.4,0,1000000000.00,0.000000
-1775.0,-1800.0,3749.5,0,1000000000.00,0.000000
-1750.0,-1800.0,3727.7,0,1000000000.00,0.000000
-1725.0,-1800.0,3706.0,0,1000000000.00,0.000000
-1700.0,-1800.0,3684.2,0,1000000000.00,0.000000
-1675.0,-1800.0,3662.5,0,1000000000.00,0.000000
-1650.0,-1800.0,3640.9,0,1000000000.00,0.000000
-1625.0,-1800.0,3619.3,0,1000000000.00,0.000000
-1600.0,-1800.0,3597.7,0,1000000000.00,0.000000
-1575.0,-1800.0,3576.2,0,1000000000.00,0.000000
-1550.0,-1800.0,3554.7,0,1000000000.00,0.000000
-1525.0,-1800.0,3533.3,0,1000000000.00,0.000000
-1500.0,-1800.0,3511.9,0,1000000000.00,0.000000
-1475.0,-1800.0,3490.6,0,1000000000.00,0.000000
-1450.0,-1800.0,3469.3,0,1000000000.00,0.000000
-1425.0,-1800.0,3448.1,0,1000000000.00,0.000000
-1400.0,-1800.0,3426.9,0,1000000000.00,0.000000
-1375.0,-1800.0,3405.8,0,1000000000.00,0.000000
-1350.0,-1800.0,3384.7,0,1000000000.00,0.000000
-1325.0,-1800.0,3363.7,0,1000000000.00,0.000000
-1300.0,-1800.0,3342.7,0,1000000000.00,0.000000
-1275.0,-1800.0,3321.8,0,1000000000.00,0.000000
-1250.0,-1800.0,3300.9,0,1000000000.00,0.000000
-1225.0,-1800.0,3280.1,0,1000000000.00,0.000000
-1200.0,-1800.0,3259.4,0,1000000000.00,0.000000
-1175.0,-1800.0,3238.7,0,1000000000.00,0.000000
-1150.0,-1800.0,3218.1,0,1000000000.00,0.000000
-1125.0,-1800.0,3197.6,0,1000000000.00,0.000000
-1100.0,-1800.0,3177.1,0,1000000000.00,0.000000
-1075.0,-1800.0,3156.6,0,1000000000.00,0.000000
-1050.0,-1800.0,3136.3,0,1000000000.00,0.000000
-1025.0,-1800.0,3116.0,0,1000000000.00,0.000000
-1000.0,-1800.0,3095.8,0,1000000000.00,0.000000
-975.0,-1800.0,3075.6,0,1000000000.00,0.000000
-950.0,-1800.0,3055.5,0,1000000000.00,0.000000
-925.0,-1800.0,3035.5,0,1000000000.00,0.000000
-900.0,-1800.0,3015.6,0,1000000000.00,0.000000
-875.0,-1800.0,2995.7,0,1000000000.00,0.000000
-850.0,-1800.0,2976.0,0,1000000000.00,0.000000
-825.0,-1800.0,2956.3,0,1000000000.00,0.000000
-800.0,-1800.0,2936.6,0,1000000000.00,0.000000
-775.0,-1800.0,2917.1,0,1000000000.00,0.000000
-750.0,-1800.0,2897.7,0,1000000000.00,0.000000
-725.0,-1800.0,2878.3,0,1000000000.00,0.000000
-700.0,-1800.0,2859.0,0,1000000000.00,0.000000
-675.0,-1800.0,2839.8,0,1000000000.00,0.000000
-650.0,-1800.0,2820.7,0,1000000000.00,0.000000
-625.0,-1800.0,2801.7,0,1000000000.00,0.000000
-600.0,-1800.0,2782.8,0,1000000000.00,0.000000
-575.0,-1800.0,2764.0,0,1000000000.00,0.000000
-550.0,-1800.0,2745.3,0,1000000000.00,0.000000
-525.0,-1800.0,2726.7,0,1000000000.00,0.000000
-500.0,-1800.0,2708.1,0,1000000000.00,0.000000
-475.0,-1800.0,2689.7,0,1000000000.00,0.000000
-450.0,-1800.0,2671.4,0,1000000000.00,0.000000
-425.0,-1800.0,2653.2,0,1000000000.00,0.000000
-400.0,-1800.0,2635.2,0,1000000000.00,0.000000
-375.0,-1800.0,2617.2,0,1000000000.00,0.000000
-350.0,-1800.0,2599.3,0,1000000000.00,0.000000
-325.0,-1800.0,2581.6,0,1000000000.00,0.000000
-300.0,-1800.0,2564.0,0,1000000000.00,0.000000
-275.0,-1800.0,2546.5,0,1000000000.00,0.000000
-250.0,-1800.0,2529.2,0,1000000000.00,0.000000
-225.0,-1800.0,2511.9,0,1000000000.00,0.000000
-200.0,-1800.0,2494.8,0,1000000000.00,0.000000
-175.0,-1800.0,2477.9,0,1000000000.00,0.000000
-150.0,-1800.0,2461.0,0,1000000000.00,0.000000
-125.0,-1800.0,2444.3,0,1000000000.00,0.000000
-100.0,-1800.0,2427.8,0,1000000000.00,0.000000
-75.0,-1800.0,2411.4,0,1000000000.00,0.000000
-50.0,-1800.0,2395.1,0,1000000000.00,0.000000
-25.0,-1800.0,2379.0,0,1000000000.00,0.000000
0.0,-1800.0,2363.1,0,1000000000.00,0.000000
25.0,-1800.0,2347.3,0,1000000000.00,0.000000
50.0,-1800.0,2331.7,0,1000000000.00,0.000000
75.0,-1800.0,2316.2,0,1000000000.00,0.000000
100.0,-1800.0,2300.9,0,1000000000.00,0.000000
125.0,-1800.0,2285.8,0,1000000000.00,0.000000
150.0,-1800.0,2270.9,0,1000000000.00,0.000000
175.0,-1800.0,2256.1,0,1000000000.00,0.000000
200.0,-1800.0,2241.5,0,1000000000.00,0.000000
225.0,-1800.0,2227.1,0,1000000000.00,0.000000
250.0,-1800.0,2212.9,0,1000000000.00,0.000000
275.0,-1800.0,2198.9,0,1000000000.00,0.000000
300.0,-1800.0,2185.0,0,1000000000.00,0.000000
325.0,-1800.0,2171.4,0,1000000000.00,0.000000
350.0,-1800.0,2158.0,0,1000000000.00,0.000000
375.0,-1800.0,2144.8,0,1000000000.00,0.000000
400.0,-1800.0,2131.8,0,1000000000.00,0.000000
425.0,-1800.0,2119.0,0,1000000000.00,0.000000
450.0,-1800.0,2106.4,0,1000000000.00,0.000000
475.0,-1800.0,2094.1,0,1000000000.00,0.000000
500.0,-1800.0,2081.9,0,1000000000.00,0.000000
525.0,-1800.0,2070.1,0,1000000000.00,0.000000
550.0,-1800.0,2058.4,0,1000000000.00,0.000000
575.0,-1800.0,2047.0,0,1000000000.00,0.000000
600.0,-1800.0,2035.8,0,1000000000.00,0.000000
625.0,-1800.0,2024.9,0,1000000000.00,0.000000
650.0,-1800.0,2014.2,0,1000000000.00,0.000000
675.0,-1800.0,2003.8,0,1000000000.00,0.000000
700.0,-1800.0,1993.6,0,1000000000.00,0.000000
725.0,-1800.0,1983.7,0,1000000000.00,0.000000
750.0,-1800.0,1974.1,0,1000000000.00,0.000000
775.0,-1800.0,1964.7,0,1000000000.00,0.000000
800.0,-1800.0,1967.8,0,1000000000.00,0.000000
825.0,-1800.0,1978.1,0,1000000000.00,0.000000
850.0,-1800.0,1988.6,0,1000000000.00,0.000000
875.0,-1800.0,1999.3,0,1000000000.00,0.000000
900.0,-1800.0,2010.3,0,1000000000.00,0.000000
925.0,-1800.0,2021.6,0,1000000000.00,0.000000
950.0,-1800.0,2033.1,0,1000000000.00,0.000000
975.0,-1800.0,2044.8,0,1000000000.00,0.000000
1000.0,-1800.0,2056.8,0,1000000000.00,0.000000
1025.0,-1800.0,2069.0,0,1000000000.00,0.000000
1050.0,-1800.0,2081.4,0,1000000000.00,0.000000
1075.0,-1800.0,2094.1,0,1000000000.00,0.000000
1100.0,-1800.0,2107.0,0,1000000000.00,0.000000
1125.0,-1800.0,2120.1,0,1000000000.00,0.000000
1150.0,-1800.0,2133.4,0,1000000000.00,0.000000
1175.0,-1800.0,2146.9,0,1000000000.00,0.000000
1200.0,-1800.0,2160.6,0,1000000000.00,0.000000
1225.0,-1800.0,2174.6,0,1000000000.00,0.000000
1250.0,-1800.0,2188.7,0,1000000000.00,0.000000
1275.0,-1800.0,2203.0,0,1000000000.00,0.000000
1300.0,-1800.0,2217.5,0,1000000000.00,0.000000
1325.0,-1800.0,2232.2,0,1000000000.00,0.000000
1350.0,-1800.0,2247.1,0,1000000000.00,0.000000
1375.0,-1800.0,2262.1,0,1000000000.00,0.000000
1400.0,-1800.0,2277.4,0,1000000000.00,0.000000
1425.0,-1800.0,2292.8,0,1000000000.00,0.000000
1450.0,-1800.0,2308.3,0,1000000000.00,0.000000
1475.0,-1800.0,2324.1,0,1000000000.00,0.000000
