seq,kind,stage,x_m,y_m,channel,outcome,theta_deg,virtual_time_s,travel_m
0,measure,survey,0.00,0.00,1,no_signal,,5.000,0.00
1,measure,survey,0.00,0.00,2,no_signal,,11.000,0.00
2,measure,survey,0.00,0.00,3,no_signal,,17.000,0.00
3,measure,survey,0.00,0.00,4,direction,294.41,23.000,0.00
4,measure,survey,0.00,0.00,5,no_signal,,29.000,0.00
5,measure,survey,0.00,0.00,6,no_signal,,35.000,0.00
6,measure,survey,0.00,0.00,7,no_signal,,41.000,0.00
7,measure,survey,0.00,0.00,8,direction,90.95,47.000,0.00
8,measure,survey,0.00,0.00,9,no_signal,,53.000,0.00
9,measure,survey,0.00,0.00,10,no_signal,,59.000,0.00
10,measure,survey,0.00,0.00,11,no_signal,,65.000,0.00
11,measure,survey,0.00,0.00,12,no_signal,,71.000,0.00
12,measure,survey,0.00,0.00,13,no_signal,,77.000,0.00
13,measure,survey,0.00,0.00,14,no_signal,,83.000,0.00
14,measure,survey,0.00,0.00,15,direction,255.53,89.000,0.00
15,measure,survey,0.00,0.00,16,no_signal,,95.000,0.00
16,measure,survey,0.00,0.00,17,direction,143.05,101.000,0.00
17,measure,survey,0.00,0.00,18,no_signal,,107.000,0.00
18,measure,survey,0.00,0.00,19,direction,41.00,113.000,0.00
19,measure,survey,0.00,0.00,20,no_signal,,119.000,0.00
20,measure,survey,880.59,-464.17,1,no_signal,,324.087,995.44
21,measure,survey,880.59,-464.17,2,no_signal,,330.087,995.44
22,measure,survey,880.59,-464.17,3,no_signal,,336.087,995.44
23,measure,survey,880.59,-464.17,4,direction,185.84,342.087,995.44
24,measure,survey,880.59,-464.17,5,no_signal,,348.087,995.44
25,measure,survey,880.59,-464.17,6,no_signal,,354.087,995.44
26,measure,survey,880.59,-464.17,7,no_signal,,360.087,995.44
27,measure,survey,880.59,-464.17,8,no_signal,,366.087,995.44
28,measure,survey,880.59,-464.17,9,direction,255.25,372.087,995.44
29,measure,survey,880.59,-464.17,10,direction,76.73,378.087,995.44
30,measure,survey,880.59,-464.17,11,no_signal,,384.087,995.44
31,measure,survey,880.59,-464.17,12,no_signal,,390.087,995.44
32,measure,survey,880.59,-464.17,13,no_signal,,396.087,995.44
33,measure,survey,880.59,-464.17,14,no_signal,,402.087,995.44
34,measure,survey,880.59,-464.17,15,direction,167.64,408.087,995.44
35,measure,survey,880.59,-464.17,16,no_signal,,414.087,995.44
36,measure,survey,880.59,-464.17,17,no_signal,,420.087,995.44
37,measure,survey,880.59,-464.17,18,no_signal,,426.087,995.44
38,measure,survey,880.59,-464.17,19,no_signal,,432.087,995.44
39,measure,survey,880.59,-464.17,20,no_signal,,438.087,995.44
40,measure,survey,909.97,368.76,1,no_signal,,610.775,1828.88
41,measure,survey,909.97,368.76,2,no_signal,,616.775,1828.88
42,measure,survey,909.97,368.76,3,no_signal,,622.775,1828.88
43,measure,survey,909.97,368.76,5,no_signal,,628.775,1828.88
44,measure,survey,909.97,368.76,6,no_signal,,634.775,1828.88
