episode,seed,n_sources,cleared,clear_ratio,virtual_time_s,avg_time_s,n_measure,n_clear,ga_runs,localize_rms_deg,n_located,localize_err_mean_m,localize_err_max_m
1,0,16,16,1.0,3734.461939,233.4038711875,127,19,44,0.05505915566335478,16,6.724271730905385,16.13218625135445
2,1,11,11,1.0,4541.366913,412.8515375454545,164,11,32,0.03096525495739029,11,7.000315822209607,11.560430202149195
3,2,16,16,1.0,5983.580479,373.9737799375,143,19,43,0.08194086152366407,16,8.629329194198654,19.429793040587175
4,3,11,11,1.0,3848.976229,349.9069299090909,147,12,39,0.09716355173495349,11,6.89718303117323,16.10657567539505
5,4,11,11,1.0,3521.806294,320.1642085454545,137,14,33,0.0686847907731996,11,6.833632312300373,9.518859342315992
6,5,14,14,1.0,4796.92315,342.6373678571428,143,20,37,0.02639010464310561,14,8.626974356465603,16.329207092378567
7,6,16,16,1.0,3700.687348,231.29295925,117,19,41,0.05358943394836086,16,8.453064174114939,18.578701278141754
8,7,12,12,1.0,3759.187329,313.26561075,130,12,33,0.013788930748830959,12,8.687430455032944,19.419885285853308
9,8,11,11,1.0,4309.037166,391.73065145454547,147,13,36,0.0614040962825558,11,7.673926368748995,11.837700848186246
10,9,13,13,1.0,6383.403202,491.0310155384616,157,13,35,0.027136464955357667,13,6.432530698461179,18.797431629656753
11,10,14,14,1.0,4567.347696,326.23912114285713,135,15,42,0.08119036493669324,14,6.052915215026028,18.38500379478064
12,11,13,13,1.0,3819.964699,293.8434383846154,144,13,35,0.01879609368592791,13,8.02904671366588,19.652916874754176
13,12,13,13,1.0,3792.944991,291.7649993076923,154,15,37,0.06356221397264569,13,8.413260567261167,16.8858523214101
14,13,12,12,1.0,3772.250461,314.35420508333334,130,13,35,0.11979817921213247,12,6.655461259662103,18.355205200355584
15,14,10,10,1.0,4053.109951,405.3109951,148,10,30,0.052915209842362615,10,9.222966162431696,19.736160886047216
16,15,11,11,1.0,3707.493882,337.0448983636364,137,14,33,0.06081256475614979,11,8.178447352649226,16.726199109430894
17,16,12,12,1.0,4328.111202,360.6759335,138,16,34,0.0395812940026411,12,7.428421965785318,12.8501809833625
18,17,14,14,1.0,3739.668579,267.1191842142857,135,14,39,0.027735055179436984,14,6.7496809748016435,15.870397092312867
19,18,11,11,1.0,3824.508642,347.6826038181818,140,11,35,0.13458676842147288,11,6.837909879419431,12.149134998408979
20,19,15,15,1.0,4218.788789,281.25258593333336,143,20,42,0.008049592314256886,15,8.951697711576173,17.308741907871397
