episode,ga,label,seed,generation,best,mean,std
1,route,滚动重规划,1826701615,0,8144.77,13615,1477.26
1,route,滚动重规划,1826701615,1,8144.77,12835.2,1472.26
1,route,滚动重规划,1826701615,6,8124.55,11576,1760.4
1,route,滚动重规划,1826701615,11,8124.55,11712.3,1613.63
1,route,滚动重规划,1826701615,16,8124.55,11138.5,1734.54
1,route,滚动重规划,1826701615,21,8124.55,10584.6,1744.96
1,route,滚动重规划,1826701615,26,8116.69,10022.4,1620.59
1,route,滚动重规划,1826701615,31,8116.69,10284.4,1651.11
1,route,滚动重规划,1826701615,36,8116.69,10809.2,1643.68
1,route,滚动重规划,1826701615,41,8116.69,11250.2,1766.99
1,route,滚动重规划,1826701615,46,8116.69,10754.2,1830.89
1,route,滚动重规划,1826701615,51,8116.69,10442.7,1633.37
1,route,滚动重规划,1826701615,56,8116.69,10545.3,1984.64
1,route,滚动重规划,1826701615,61,8116.69,10580.9,1602.66
1,route,滚动重规划,1826701615,66,8116.69,10097.4,1671.82
1,route,滚动重规划,1826701615,71,8116.69,9845.44,1560.45
1,route,滚动重规划,1826701615,76,8116.69,9462.03,1478.07
1,route,滚动重规划,1826701615,81,8116.69,9693,1665.09
1,route,滚动重规划,1826701615,86,8116.69,9552.07,1548.86
1,route,滚动重规划,1826701615,91,8116.69,9954.65,1606.71
1,route,滚动重规划,1826701615,96,8116.69,9601.69,1440.02
1,route,滚动重规划,1826701615,101,8116.69,9593.95,1441.09
1,route,滚动重规划,1826701615,106,8116.69,9901.61,1680.69
1,route,滚动重规划,1826701615,111,8116.69,9995.53,1686.1
1,route,滚动重规划,1826701615,116,8116.69,9641.62,1668.27
1,route,滚动重规划,1826701615,121,8116.69,9758.75,1376.38
1,route,滚动重规划,1826701615,126,8116.69,9501.02,1614.63
1,route,滚动重规划,1826701615,131,8116.69,9470.54,1527.98
1,route,滚动重规划,1826701615,136,8116.69,9384.35,1629.17
1,route,滚动重规划,1826701615,141,8116.69,9224.74,1459.7
1,route,滚动重规划,1826701615,146,8116.69,9604.26,1697.76
1,route,滚动重规划,1826701615,151,8116.69,9338.27,1616.16
1,route,滚动重规划,1826701615,156,8116.69,9197.13,1434.01
1,route,滚动重规划,1826701615,161,8116.69,9408.47,1590.57
1,route,滚动重规划,1826701615,166,8116.69,9269.62,1526.15
1,route,滚动重规划,1826701615,171,8116.69,9132.4,1509.02
1,route,滚动重规划,1826701615,176,8116.69,9321.29,1600.4
1,route,滚动重规划,1826701615,181,8116.69,9186.02,1400.98
1,route,滚动重规划,1826701615,186,8116.69,9266.44,1556.22
1,route,滚动重规划,1826701615,191,8116.69,9322.28,1532.42
1,route,滚动重规划,1826701615,196,8116.69,9301,1605.6
1,route,滚动重规划,1826701615,201,8116.69,8905,1254.84
1,route,滚动重规划,1826701615,206,8116.69,8971.69,1426.17
1,route,滚动重规划,1826701615,211,8116.69,9360.94,1568.42
1,route,滚动重规划,1826701615,216,8116.69,9007.84,1341.31
1,route,滚动重规划,1826701615,221,8116.69,9230.15,1440.71
1,route,滚动重规划,1826701615,226,8116.69,9163.44,1510.46
1,route,滚动重规划,1826701615,231,8116.69,9022.87,1457.11
1,route,滚动重规划,1826701615,236,8116.69,8857.84,1188.65
1,route,滚动重规划,1826701615,241,8116.69,8839.63,1254.61
1,route,滚动重规划,1826701615,246,8116.69,9173.04,1573.1
1,route,滚动重规划,1826701615,251,8116.69,8951.83,1498.98
1,route,滚动重规划,1826701615,256,8116.69,8973.72,1401.42
1,route,滚动重规划,1826701615,261,8116.69,9313.34,1683.46
1,route,滚动重规划,1826701615,266,8116.69,8773.41,1187.52
1,route,滚动重规划,1826701615,271,8116.69,9210.02,1421.46
1,route,滚动重规划,1826701615,276,8116.69,9061.21,1364.93
1,route,滚动重规划,1826701615,281,8116.69,8778.95,1234.71
1,route,滚动重规划,1826701615,286,8116.69,8972.17,1466.37
1,route,滚动重规划,1826701615,291,8116.69,8725.95,1182.24
1,route,滚动重规划,1826701615,296,8116.69,8896.65,1333.62
1,route,滚动重规划,1826701615,300,8116.69,9085.36,1453.38
1,localize,频道3,0,0,0,109.519,52.7057
1,localize,频道3,0,1,0,53.7635,36.6367
1,localize,频道14,0,0,0,111.407,52.2361
1,localize,频道14,0,1,0,61.0651,40.7831
1,localize,频道16,0,0,0,105.153,50.5659
1,localize,频道16,0,1,0,57.8462,36.0459
1,route,滚动重规划,1367864807,0,7157.88,15700.1,2046.52
1,route,滚动重规划,1367864807,1,7157.88,14474.7,2070.74
1,route,滚动重规划,1367864807,6,7157.88,12208.7,2271.75
1,route,滚动重规划,1367864807,11,7157.88,10561.9,2013.7
1,route,滚动重规划,1367864807,16,7157.88,9608,2067.38
1,route,滚动重规划,1367864807,21,7157.88,9786.52,2163.56
1,route,滚动重规划,1367864807,26,7157.88,10013,2227.01
1,route,滚动重规划,1367864807,31,7157.88,9159.65,1888.98
1,route,滚动重规划,1367864807,36,7157.88,8949.68,2028.4
1,route,滚动重规划,1367864807,41,7157.88,9865.39,2386.33
1,route,滚动重规划,1367864807,46,7157.88,9244.69,2129.7
1,route,滚动重规划,1367864807,51,7157.88,8855.21,1974.21
1,route,滚动重规划,1367864807,56,7157.88,9446.42,2295.56
1,route,滚动重规划,1367864807,61,7157.88,9425.42,2377.68
1,route,滚动重规划,1367864807,66,7157.88,9083.46,2023.16
1,route,滚动重规划,1367864807,71,7157.88,8919.07,1980.95
1,route,滚动重规划,1367864807,76,7157.88,9358.62,2133.23
1,route,滚动重规划,1367864807,81,7157.88,8662.06,1959.6
1,route,滚动重规划,1367864807,86,7157.88,9084.19,2080.56
1,route,滚动重规划,1367864807,91,7157.88,9151.15,2326.84
1,route,滚动重规划,1367864807,96,7157.88,8875.88,2156.26
1,route,滚动重规划,1367864807,101,7157.88,8937.51,2286.6
1,route,滚动重规划,1367864807,106,7157.88,9159.49,2066.58
1,route,滚动重规划,1367864807,111,7157.88,8866.15,2128.04
1,route,滚动重规划,1367864807,116,7157.88,8732.55,2116.64
1,route,滚动重规划,1367864807,121,7157.88,8802.13,1910.99
1,route,滚动重规划,1367864807,126,7157.88,8680.11,2123.19
1,route,滚动重规划,1367864807,131,7157.88,8598.99,1873.59
1,route,滚动重规划,1367864807,136,7157.88,8693.47,1799.92
1,route,滚动重规划,1367864807,141,7157.88,8710.37,1997.15
1,route,滚动重规划,1367864807,146,7157.88,8520.14,1991.87
1,route,滚动重规划,1367864807,151,7157.88,9111.77,2099.55
1,route,滚动重规划,1367864807,156,7157.88,8770.64,1847.01
1,route,滚动重规划,1367864807,161,7157.88,8823.16,2174.77
1,route,滚动重规划,1367864807,166,7157.88,8703.04,1943.92
1,route,滚动重规划,1367864807,171,7157.88,8729.61,2079.91
1,route,滚动重规划,1367864807,176,7157.88,8341.41,1636.8
1,route,滚动重规划,1367864807,181,7157.88,8524.53,1983.29
1,route,滚动重规划,1367864807,186,7157.88,8856.85,2102.72
