step,x,y,kind
0,0.000,0.000,start
1,0.000,0.000,measure
2,0.000,0.000,measure
3,0.000,0.000,measure
4,0.000,0.000,measure
5,0.000,0.000,measure
6,0.000,0.000,measure
7,0.000,0.000,measure
8,0.000,0.000,measure
9,0.000,0.000,measure
10,0.000,0.000,measure
11,0.000,0.000,measure
12,0.000,0.000,measure
13,0.000,0.000,measure
14,0.000,0.000,measure
15,0.000,0.000,measure
16,0.000,0.000,measure
17,0.000,0.000,measure
18,0.000,0.000,measure
19,0.000,0.000,measure
20,0.000,0.000,measure
21,1320.000,-360.000,measure
22,1320.000,-360.000,measure
23,1320.000,-360.000,measure
24,1320.000,-360.000,measure
25,1320.000,-360.000,measure
26,1320.000,-360.000,measure
27,1320.000,-360.000,measure
28,1320.000,-360.000,measure
29,1320.000,-360.000,measure
30,1320.000,-360.000,measure
31,1320.000,-360.000,measure
32,1320.000,-360.000,measure
33,1320.000,-360.000,measure
34,1320.000,-360.000,measure
35,1320.000,-360.000,measure
36,1320.000,-360.000,measure
37,1320.000,-360.000,measure
38,1320.000,-360.000,measure
39,1320.000,-360.000,measure
40,1320.000,-360.000,measure
41,1080.000,520.000,measure
42,1080.000,520.000,measure
43,1080.000,520.000,measure
44,1080.000,520.000,measure
45,1080.000,520.000,measure
46,1080.000,520.000,measure
47,1080.000,520.000,measure
48,1080.000,520.000,measure
49,1080.000,520.000,measure
50,1080.000,520.000,measure
51,1080.000,520.000,measure
52,1080.000,520.000,measure
53,1080.000,520.000,measure
54,1080.000,520.000,measure
55,1080.000,520.000,measure
56,1080.000,520.000,measure
57,1080.000,520.000,measure
58,1080.000,520.000,measure
59,1080.000,520.000,measure
60,1080.000,520.000,measure
61,1123.983,583.213,clear
62,939.814,816.968,clear
63,939.814,816.968,measure
64,932.108,830.990,clear
65,360.000,840.000,measure
66,360.000,840.000,measure
67,360.000,840.000,measure
68,360.000,840.000,measure
69,360.000,840.000,measure
70,360.000,840.000,measure
71,360.000,840.000,measure
72,360.000,840.000,measure
73,360.000,840.000,measure
74,360.000,840.000,measure
75,360.000,840.000,measure
76,360.000,840.000,measure
77,360.000,840.000,measure
78,360.000,840.000,measure
79,360.000,840.000,measure
80,360.000,840.000,measure
81,360.000,840.000,measure
82,360.000,840.000,measure
83,-13.423,813.404,clear
84,-360.000,1000.000,measure
85,-360.000,1000.000,measure
86,-360.000,1000.000,measure
87,-360.000,1000.000,measure
88,-360.000,1000.000,measure
89,-360.000,1000.000,measure
90,-360.000,1000.000,measure
91,-360.000,1000.000,measure
92,-360.000,1000.000,measure
93,-360.000,1000.000,measure
94,-360.000,1000.000,measure
95,-360.000,1000.000,measure
96,-360.000,1000.000,measure
97,-360.000,1000.000,measure
98,-360.000,1000.000,measure
99,-360.000,1000.000,measure
100,-360.000,1000.000,measure
101,-344.927,1271.303,clear
102,-912.226,686.164,clear
103,-1080.000,360.000,measure
104,-1080.000,360.000,measure
105,-1080.000,360.000,measure
106,-1080.000,360.000,measure
107,-1080.000,360.000,measure
108,-1080.000,360.000,measure
109,-1080.000,360.000,measure
110,-1080.000,360.000,measure
111,-1080.000,360.000,measure
112,-1080.000,360.000,measure
113,-1080.000,360.000,measure
114,-1080.000,360.000,measure
115,-1080.000,360.000,measure
116,-1080.000,360.000,measure
117,-1080.000,360.000,measure
118,-1160.000,-1000.000,measure
119,-1160.000,-1000.000,measure
120,-1160.000,-1000.000,measure
121,-1160.000,-1000.000,measure
122,-1160.000,-1000.000,measure
123,-1160.000,-1000.000,measure
124,-1160.000,-1000.000,measure
125,-1160.000,-1000.000,measure
126,-1160.000,-1000.000,measure
127,-1160.000,-1000.000,measure
128,-1160.000,-1000.000,measure
129,-1160.000,-1000.000,measure
130,-1160.000,-1000.000,measure
131,-1160.000,-1000.000,measure
132,-1160.000,-1000.000,measure
133,-120.000,-840.000,measure
134,-120.000,-840.000,measure
135,-120.000,-840.000,measure
136,-120.000,-840.000,measure
137,-120.000,-840.000,measure
138,-120.000,-840.000,measure
139,-120.000,-840.000,measure
140,-120.000,-840.000,measure
141,-120.000,-840.000,measure
142,-120.000,-840.000,measure
143,-120.000,-840.000,measure
144,-120.000,-840.000,measure
145,-120.000,-840.000,measure
146,-120.000,-840.000,measure
147,-120.000,-840.000,measure
148,-73.177,-283.568,clear
149,245.512,-538.350,clear
150,569.809,-1602.624,clear
151,360.000,-1640.000,measure
152,360.000,-1640.000,measure
153,360.000,-1640.000,measure
154,360.000,-1640.000,measure
155,360.000,-1640.000,measure
156,360.000,-1640.000,measure
157,360.000,-1640.000,measure
158,360.000,-1640.000,measure
159,360.000,-1640.000,measure
160,360.000,-1640.000,measure
161,360.000,-1640.000,measure
162,360.000,-1640.000,measure
163,-473.470,-1589.530,clear
164,-624.676,-1468.500,clear
