step,x,y,kind
0,0.000,0.000,start
1,0.000,0.000,measure
2,0.000,0.000,measure
3,0.000,0.000,measure
4,0.000,0.000,measure
5,0.000,0.000,measure
6,0.000,0.000,measure
7,0.000,0.000,measure
8,0.000,0.000,measure
9,0.000,0.000,measure
10,0.000,0.000,measure
11,0.000,0.000,measure
12,0.000,0.000,measure
13,0.000,0.000,measure
14,0.000,0.000,measure
15,0.000,0.000,measure
16,0.000,0.000,measure
17,0.000,0.000,measure
18,0.000,0.000,measure
19,0.000,0.000,measure
20,0.000,0.000,measure
21,1320.000,-360.000,measure
22,1320.000,-360.000,measure
23,1320.000,-360.000,measure
24,1320.000,-360.000,measure
25,1320.000,-360.000,measure
26,1320.000,-360.000,measure
27,1320.000,-360.000,measure
28,1320.000,-360.000,measure
29,1320.000,-360.000,measure
30,1320.000,-360.000,measure
31,1320.000,-360.000,measure
32,1320.000,-360.000,measure
33,1320.000,-360.000,measure
34,1320.000,-360.000,measure
35,1320.000,-360.000,measure
36,1320.000,-360.000,measure
37,1320.000,-360.000,measure
38,1320.000,-360.000,measure
39,1320.000,-360.000,measure
40,1320.000,-360.000,measure
41,841.188,-657.918,clear
42,360.000,-1640.000,measure
43,360.000,-1640.000,measure
44,360.000,-1640.000,measure
45,360.000,-1640.000,measure
46,360.000,-1640.000,measure
47,360.000,-1640.000,measure
48,360.000,-1640.000,measure
49,360.000,-1640.000,measure
50,360.000,-1640.000,measure
51,360.000,-1640.000,measure
52,360.000,-1640.000,measure
53,360.000,-1640.000,measure
54,360.000,-1640.000,measure
55,360.000,-1640.000,measure
56,360.000,-1640.000,measure
57,360.000,-1640.000,measure
58,360.000,-1640.000,measure
59,360.000,-1640.000,measure
60,360.000,-1640.000,measure
61,-98.639,-1120.690,clear
62,-120.000,-840.000,measure
63,-120.000,-840.000,measure
64,-120.000,-840.000,measure
65,-120.000,-840.000,measure
66,-120.000,-840.000,measure
67,-120.000,-840.000,measure
68,-120.000,-840.000,measure
69,-120.000,-840.000,measure
70,-120.000,-840.000,measure
71,-120.000,-840.000,measure
72,-120.000,-840.000,measure
73,-120.000,-840.000,measure
74,-120.000,-840.000,measure
75,-120.000,-840.000,measure
76,-120.000,-840.000,measure
77,-120.000,-840.000,measure
78,-120.000,-840.000,measure
79,-120.000,-840.000,measure
80,-146.236,43.984,clear
81,1080.000,520.000,measure
82,1080.000,520.000,measure
83,1080.000,520.000,measure
84,1080.000,520.000,measure
85,1080.000,520.000,measure
86,1080.000,520.000,measure
87,1080.000,520.000,measure
88,1080.000,520.000,measure
89,1080.000,520.000,measure
90,1080.000,520.000,measure
91,1080.000,520.000,measure
92,1080.000,520.000,measure
93,1080.000,520.000,measure
94,1080.000,520.000,measure
95,1080.000,520.000,measure
96,1080.000,520.000,measure
97,1080.000,520.000,measure
98,1111.174,915.223,clear
99,1111.174,915.223,measure
100,1110.658,899.232,clear
101,1110.658,899.232,measure
102,1110.102,883.241,clear
103,1110.102,883.241,measure
104,1109.457,867.254,clear
105,815.670,711.986,clear
106,644.428,649.850,clear
107,360.000,840.000,measure
108,360.000,840.000,measure
109,360.000,840.000,measure
110,360.000,840.000,measure
111,360.000,840.000,measure
112,360.000,840.000,measure
113,360.000,840.000,measure
114,360.000,840.000,measure
115,360.000,840.000,measure
116,360.000,840.000,measure
117,360.000,840.000,measure
118,360.000,840.000,measure
119,360.000,840.000,measure
120,360.000,840.000,measure
121,-405.760,1348.192,clear
122,-405.760,1348.192,measure
123,-418.925,1357.284,clear
124,-418.925,1357.284,measure
125,-432.141,1366.303,clear
126,-360.000,1000.000,measure
127,-360.000,1000.000,measure
128,-360.000,1000.000,measure
129,-360.000,1000.000,measure
130,-360.000,1000.000,measure
131,-360.000,1000.000,measure
132,-360.000,1000.000,measure
133,-360.000,1000.000,measure
134,-360.000,1000.000,measure
135,-360.000,1000.000,measure
136,-360.000,1000.000,measure
137,-360.000,1000.000,measure
138,62.545,1665.310,clear
139,-1080.000,360.000,measure
140,-1080.000,360.000,measure
141,-1080.000,360.000,measure
142,-1080.000,360.000,measure
143,-1080.000,360.000,measure
144,-1080.000,360.000,measure
145,-1080.000,360.000,measure
146,-1080.000,360.000,measure
147,-1080.000,360.000,measure
148,-1080.000,360.000,measure
149,-1364.248,812.604,clear
150,-1222.074,1005.116,clear
151,-597.014,74.081,clear
152,-816.690,-249.159,clear
153,-1160.000,-1000.000,measure
154,-1160.000,-1000.000,measure
155,-1160.000,-1000.000,measure
156,-1160.000,-1000.000,measure
157,-1160.000,-1000.000,measure
158,-1160.000,-1000.000,measure
159,-1160.000,-1000.000,measure
160,-1160.000,-1000.000,measure
161,-410.953,-872.376,clear
162,58.298,-1512.928,clear
163,413.790,-1571.473,clear
