episode,channel,x_m,y_m,svd_deg,nearest_center_m
1,1,0.00,0.00,113.55,0.00
1,1,-779.42,1350.00,313.06,0.00
1,1,779.42,1350.00,197.14,0.00
1,2,0.00,0.00,199.29,0.00
1,2,-779.42,-1350.00,88.13,0.00
1,2,-1558.85,0.00,341.72,0.00
1,3,0.00,0.00,23.40,0.00
1,3,779.42,1350.00,295.03,0.00
1,3,1558.85,0.00,128.29,0.00
1,4,779.42,1350.00,325.88,0.00
1,4,1558.85,0.00,98.99,0.00
1,5,779.42,-1350.00,193.09,0.00
1,5,-779.42,-1350.00,354.93,0.00
1,6,779.42,-1350.00,135.28,0.00
1,7,-779.42,-1350.00,344.19,0.00
1,8,-779.42,1350.00,16.15,0.00
1,8,779.42,1350.00,145.97,0.00
1,9,0.00,0.00,195.30,0.00
1,9,-1558.85,0.00,349.56,0.00
1,10,1558.85,0.00,256.77,0.00
1,10,779.42,-1350.00,12.43,0.00
1,12,-779.42,1350.00,336.15,0.00
1,13,0.00,0.00,119.40,0.00
1,13,-779.42,1350.00,299.49,0.00
1,13,779.42,1350.00,215.90,0.00
1,14,0.00,0.00,286.83,0.00
1,14,779.42,-1350.00,133.17,0.00
1,14,-779.42,-1350.00,30.49,0.00
1,16,0.00,0.00,32.43,0.00
1,16,779.42,1350.00,270.64,0.00
1,16,1558.85,0.00,145.28,0.00
1,18,0.00,0.00,87.99,0.00
1,18,-779.42,1350.00,336.19,0.00
1,18,779.42,1350.00,205.91,0.00
1,20,779.42,1350.00,307.09,0.00
1,20,1558.85,0.00,87.65,0.00
2,3,779.42,1350.00,300.97,0.00
2,3,1558.85,0.00,120.00,0.00
2,4,0.00,0.00,234.51,0.00
2,7,779.42,-1350.00,187.64,0.00
2,7,-779.42,-1350.00,305.97,0.00
2,8,-779.42,-1350.00,123.17,0.00
2,8,-1558.85,0.00,285.75,0.00
2,9,-779.42,-1350.00,137.60,0.00
2,9,-1558.85,0.00,263.86,0.00
2,11,0.00,0.00,273.23,0.00
2,11,779.42,-1350.00,189.29,0.00
2,11,-779.42,-1350.00,353.05,0.00
2,13,-779.42,1350.00,214.72,0.00
2,13,-1558.85,0.00,84.29,0.00
2,14,779.42,1350.00,328.72,0.00
2,14,1558.85,0.00,101.07,0.00
2,16,-779.42,1350.00,14.84,0.00
2,16,779.42,1350.00,175.16,0.00
2,17,1558.85,0.00,288.79,0.00
2,19,-1558.85,0.00,205.62,0.00
