episode,channel,x_m,y_m,outcome,theta_deg,stage
1,1,0.0,0.0,no_signal,,sweep
1,1,961.27,-166.95,no_signal,,sweep
1,1,508.27,-848.27,no_signal,,sweep
1,1,-314.31,-931.09,no_signal,,sweep
1,1,-902.87,-372.0,direction,141.26,sweep
1,1,-878.56,438.35,no_signal,,sweep
1,1,-1602.15,925.0,no_signal,,sweep
1,1,-1850.0,0.0,no_signal,,sweep
1,1,-1602.15,-925.0,no_signal,,sweep
1,1,-244.3,947.02,no_signal,,clear
1,1,-1349.24,732.0,no_signal,,refine
1,1,-1350.07,726.78,no_signal,,refine
1,1,-1334.63,586.96,no_signal,,refine
1,1,-1334.63,-13.04,no_signal,,clear
1,1,-1334.63,-13.04,no_signal,,clear
1,1,-1322.33,-23.27,no_signal,,clear
1,1,-1310.02,-33.5,no_signal,,clear
1,1,-1297.72,-43.73,no_signal,,clear
1,1,-1285.42,-53.96,no_signal,,clear
1,1,-1273.11,-64.19,no_signal,,clear
1,1,-1260.81,-74.41,no_signal,,clear
1,1,-1248.51,-84.64,no_signal,,clear
1,1,-1236.2,-94.87,no_signal,,clear
1,1,-1223.9,-105.1,no_signal,,clear
1,1,-1211.6,-115.33,no_signal,,clear
1,1,-1199.29,-125.56,no_signal,,clear
1,1,-1186.99,-135.79,no_signal,,clear
1,2,0.0,0.0,no_signal,,sweep
1,2,961.27,-166.95,direction,68.06,sweep
1,2,1850.0,0.0,direction,115.79,sweep
1,2,1602.15,925.0,direction,176.46,sweep
1,3,0.0,0.0,no_signal,,sweep
1,3,961.27,-166.95,no_signal,,sweep
1,3,508.27,-848.27,direction,253.40,sweep
1,3,-314.31,-931.09,direction,320.71,sweep
1,3,-0.0,-1850.0,direction,49.65,sweep
1,4,0.0,0.0,no_signal,,sweep
1,4,961.27,-166.95,no_signal,,sweep
1,4,508.27,-848.27,no_signal,,sweep
1,4,-314.31,-931.09,no_signal,,sweep
1,4,-902.87,-372.0,no_signal,,sweep
1,4,-878.56,438.35,no_signal,,sweep
1,4,-234.57,967.4,no_signal,,sweep
1,4,0.0,1850.0,no_signal,,sweep
1,4,-925.0,1602.15,no_signal,,sweep
1,4,-1602.15,925.0,no_signal,,sweep
1,4,-1850.0,0.0,no_signal,,sweep
1,4,-1602.15,-925.0,no_signal,,sweep
1,4,-925.0,-1602.15,no_signal,,sweep
1,4,-0.0,-1850.0,direction,44.10,sweep
1,4,925.0,-1602.15,direction,125.42,sweep
1,5,0.0,0.0,no_signal,,sweep
1,5,961.27,-166.95,no_signal,,sweep
1,5,508.27,-848.27,no_signal,,sweep
1,5,-314.31,-931.09,no_signal,,sweep
1,5,-902.87,-372.0,no_signal,,sweep
1,5,-878.56,438.35,no_signal,,sweep
1,5,-234.57,967.4,no_signal,,sweep
1,5,0.0,1850.0,no_signal,,sweep
1,5,-925.0,1602.15,no_signal,,sweep
1,5,-1602.15,925.0,no_signal,,sweep
1,5,-1850.0,0.0,no_signal,,sweep
1,5,-1602.15,-925.0,no_signal,,sweep
1,5,-925.0,-1602.15,no_signal,,sweep
1,5,-0.0,-1850.0,no_signal,,sweep
1,5,925.0,-1602.15,no_signal,,sweep
1,5,1602.15,-925.0,no_signal,,sweep
1,5,1850.0,0.0,no_signal,,sweep
1,5,1602.15,925.0,direction,237.18,sweep
1,5,856.23,898.93,direction,328.20,sweep
1,6,0.0,0.0,no_signal,,sweep
1,6,961.27,-166.95,no_signal,,sweep
1,6,508.27,-848.27,no_signal,,sweep
1,6,-314.31,-931.09,no_signal,,sweep
1,6,-902.87,-372.0,no_signal,,sweep
1,6,-878.56,438.35,no_signal,,sweep
1,6,-234.57,967.4,no_signal,,sweep
1,6,0.0,1850.0,no_signal,,sweep
1,6,-925.0,1602.15,no_signal,,sweep
1,6,-1602.15,925.0,no_signal,,sweep
1,6,-1850.0,0.0,no_signal,,sweep
1,6,-1602.15,-925.0,no_signal,,sweep
1,6,-925.0,-1602.15,no_signal,,sweep
1,6,-0.0,-1850.0,no_signal,,sweep
1,6,925.0,-1602.15,no_signal,,sweep
1,6,1602.15,-925.0,no_signal,,sweep
1,6,1850.0,0.0,no_signal,,sweep
1,6,1602.15,925.0,direction,152.94,sweep
1,6,856.23,898.93,no_signal,,sweep
1,6,925.0,1602.15,direction,279.89,sweep
1,7,0.0,0.0,no_signal,,sweep
1,7,961.27,-166.95,direction,285.40,sweep
1,7,508.27,-848.27,direction,331.90,sweep
1,7,925.0,-1602.15,direction,48.12,sweep
1,8,0.0,0.0,direction,104.33,sweep
1,8,-878.56,438.35,direction,39.02,sweep
1,8,-234.57,967.4,direction,244.51,sweep
1,8,0.0,1850.0,direction,254.85,sweep
1,9,0.0,0.0,no_signal,,sweep
1,9,961.27,-166.95,no_signal,,sweep
1,9,508.27,-848.27,direction,42.91,sweep
1,9,1602.15,-925.0,direction,146.87,sweep
1,10,0.0,0.0,no_signal,,sweep
1,10,961.27,-166.95,no_signal,,sweep
1,10,508.27,-848.27,no_signal,,sweep
1,10,-314.31,-931.09,no_signal,,sweep
1,10,-902.87,-372.0,no_signal,,sweep
1,10,-878.56,438.35,direction,56.02,sweep
