seq,x_m,y_m,in_region
0,0.00,0.00,yes
1,821.04,220.00,yes
2,961.27,-166.95,yes
3,508.27,-848.27,yes
4,-220.00,-821.04,yes
5,-314.31,-931.09,yes
6,-902.87,-372.00,yes
7,-878.56,438.35,yes
8,-601.04,601.04,yes
9,-234.57,967.40,yes
10,0.00,1850.00,no
11,-925.00,1602.15,no
12,-1602.15,925.00,no
13,-1850.00,0.00,no
14,-1602.15,-925.00,no
15,-925.00,-1602.15,no
16,-0.00,-1850.00,no
17,925.00,-1602.15,no
18,1602.15,-925.00,no
19,1850.00,0.00,no
20,1602.15,925.00,no
21,856.23,898.93,yes
22,925.00,1602.15,no
