seq,kind,stage,x_m,y_m,channel,outcome,theta_deg,virtual_time_s,travel_m
0,measure,sweep,0.00,0.00,1,no_signal,,5.000,0.00
1,measure,sweep,0.00,0.00,2,no_signal,,11.000,0.00
2,measure,sweep,0.00,0.00,3,no_signal,,17.000,0.00
3,measure,sweep,0.00,0.00,4,direction,328.37,23.000,0.00
4,measure,sweep,0.00,0.00,5,no_signal,,29.000,0.00
5,measure,sweep,0.00,0.00,6,direction,262.85,35.000,0.00
6,measure,sweep,0.00,0.00,7,direction,49.19,41.000,0.00
7,measure,sweep,0.00,0.00,8,no_signal,,47.000,0.00
8,measure,sweep,0.00,0.00,9,direction,253.10,53.000,0.00
9,measure,sweep,0.00,0.00,10,no_signal,,59.000,0.00
10,measure,sweep,0.00,0.00,11,no_signal,,65.000,0.00
11,measure,sweep,0.00,0.00,12,no_signal,,71.000,0.00
12,measure,sweep,0.00,0.00,13,no_signal,,77.000,0.00
13,measure,sweep,0.00,0.00,14,no_signal,,83.000,0.00
14,measure,sweep,0.00,0.00,15,no_signal,,89.000,0.00
15,measure,sweep,0.00,0.00,16,direction,41.28,95.000,0.00
16,measure,sweep,0.00,0.00,17,direction,46.49,101.000,0.00
17,measure,sweep,0.00,0.00,18,no_signal,,107.000,0.00
18,measure,sweep,0.00,0.00,19,direction,74.84,113.000,0.00
19,measure,sweep,0.00,0.00,20,no_signal,,119.000,0.00
20,measure,sweep,961.27,-166.95,1,no_signal,,320.131,975.66
21,measure,sweep,961.27,-166.95,2,no_signal,,326.131,975.66
22,measure,sweep,961.27,-166.95,3,no_signal,,332.131,975.66
23,measure,sweep,961.27,-166.95,4,direction,248.36,338.131,975.66
24,measure,sweep,961.27,-166.95,5,direction,332.63,344.131,975.66
25,measure,sweep,961.27,-166.95,6,no_signal,,350.131,975.66
26,measure,sweep,961.27,-166.95,7,direction,103.49,356.131,975.66
27,measure,sweep,961.27,-166.95,8,no_signal,,362.131,975.66
28,measure,sweep,961.27,-166.95,10,no_signal,,368.131,975.66
29,measure,sweep,961.27,-166.95,11,no_signal,,374.131,975.66
30,measure,sweep,961.27,-166.95,12,no_signal,,380.131,975.66
31,measure,sweep,961.27,-166.95,13,no_signal,,386.131,975.66
32,measure,sweep,961.27,-166.95,14,no_signal,,392.131,975.66
33,measure,sweep,961.27,-166.95,15,no_signal,,398.131,975.66
34,measure,sweep,961.27,-166.95,16,direction,98.47,404.131,975.66
35,measure,sweep,961.27,-166.95,17,no_signal,,410.131,975.66
36,measure,sweep,961.27,-166.95,18,no_signal,,416.131,975.66
37,measure,sweep,961.27,-166.95,19,direction,148.92,422.131,975.66
38,measure,sweep,961.27,-166.95,20,no_signal,,428.131,975.66
39,clear,survey-clear,825.94,-508.91,4,success,,506.684,1343.42
40,measure,survey-clear,508.27,-848.27,1,no_signal,,605.652,1808.26
41,measure,survey-clear,508.27,-848.27,2,no_signal,,611.652,1808.26
42,measure,survey-clear,508.27,-848.27,3,no_signal,,617.652,1808.26
43,measure,survey-clear,508.27,-848.27,5,direction,21.80,623.652,1808.26
44,measure,survey-clear,508.27,-848.27,6,direction,215.04,629.652,1808.26
45,measure,survey-clear,508.27,-848.27,8,no_signal,,635.652,1808.26
46,measure,survey-clear,508.27,-848.27,9,direction,156.33,641.652,1808.26
47,measure,survey-clear,508.27,-848.27,10,no_signal,,647.652,1808.26
48,measure,survey-clear,508.27,-848.27,11,no_signal,,653.652,1808.26
49,measure,survey-clear,508.27,-848.27,12,no_signal,,659.652,1808.26
50,measure,survey-clear,508.27,-848.27,13,no_signal,,665.652,1808.26
51,measure,survey-clear,508.27,-848.27,14,no_signal,,671.652,1808.26
52,measure,survey-clear,508.27,-848.27,15,no_signal,,677.652,1808.26
53,measure,survey-clear,508.27,-848.27,18,no_signal,,683.652,1808.26
54,measure,survey-clear,508.27,-848.27,20,no_signal,,689.652,1808.26
55,clear,survey-clear,-146.74,-1305.78,6,success,,854.446,2607.23
56,measure,survey-clear,-314.31,-931.09,1,no_signal,,942.537,3017.68
57,measure,survey-clear,-314.31,-931.09,2,no_signal,,948.537,3017.68
58,measure,survey-clear,-314.31,-931.09,3,no_signal,,954.537,3017.68
59,measure,survey-clear,-314.31,-931.09,8,no_signal,,960.537,3017.68
60,measure,survey-clear,-314.31,-931.09,10,no_signal,,966.537,3017.68
61,measure,survey-clear,-314.31,-931.09,11,no_signal,,972.537,3017.68
62,measure,survey-clear,-314.31,-931.09,12,no_signal,,978.537,3017.68
63,measure,survey-clear,-314.31,-931.09,13,no_signal,,984.537,3017.68
64,measure,survey-clear,-314.31,-931.09,14,no_signal,,990.537,3017.68
65,measure,survey-clear,-314.31,-931.09,15,no_signal,,996.537,3017.68
66,measure,survey-clear,-314.31,-931.09,18,no_signal,,1002.537,3017.68
