seq,kind,stage,x_m,y_m,channel,outcome,theta_deg,virtual_time_s,travel_m
0,measure,survey,0.00,0.00,1,direction,181.77,5.000,0.00
1,measure,survey,0.00,0.00,2,no_signal,,11.000,0.00
2,measure,survey,0.00,0.00,3,no_signal,,17.000,0.00
3,measure,survey,0.00,0.00,4,no_signal,,23.000,0.00
4,measure,survey,0.00,0.00,5,no_signal,,29.000,0.00
5,measure,survey,0.00,0.00,6,no_signal,,35.000,0.00
6,measure,survey,0.00,0.00,7,no_signal,,41.000,0.00
7,measure,survey,0.00,0.00,8,direction,95.27,47.000,0.00
8,measure,survey,0.00,0.00,9,direction,291.49,53.000,0.00
9,measure,survey,0.00,0.00,10,no_signal,,59.000,0.00
10,measure,survey,0.00,0.00,11,no_signal,,65.000,0.00
11,measure,survey,0.00,0.00,12,no_signal,,71.000,0.00
12,measure,survey,0.00,0.00,13,no_signal,,77.000,0.00
13,measure,survey,0.00,0.00,14,no_signal,,83.000,0.00
14,measure,survey,0.00,0.00,15,no_signal,,89.000,0.00
15,measure,survey,0.00,0.00,16,no_signal,,95.000,0.00
16,measure,survey,0.00,0.00,17,no_signal,,101.000,0.00
17,measure,survey,0.00,0.00,18,no_signal,,107.000,0.00
18,measure,survey,0.00,0.00,19,direction,194.60,113.000,0.00
19,measure,survey,0.00,0.00,20,direction,177.86,119.000,0.00
20,measure,survey,-600.00,1039.23,1,direction,270.55,365.000,1200.00
21,measure,survey,-600.00,1039.23,2,no_signal,,371.000,1200.00
22,measure,survey,-600.00,1039.23,3,no_signal,,377.000,1200.00
23,measure,survey,-600.00,1039.23,4,no_signal,,383.000,1200.00
24,measure,survey,-600.00,1039.23,5,no_signal,,389.000,1200.00
25,measure,survey,-600.00,1039.23,6,no_signal,,395.000,1200.00
26,measure,survey,-600.00,1039.23,7,no_signal,,401.000,1200.00
27,measure,survey,-600.00,1039.23,8,direction,316.65,407.000,1200.00
28,measure,survey,-600.00,1039.23,9,no_signal,,413.000,1200.00
29,measure,survey,-600.00,1039.23,10,no_signal,,419.000,1200.00
30,measure,survey,-600.00,1039.23,11,no_signal,,425.000,1200.00
31,measure,survey,-600.00,1039.23,12,no_signal,,431.000,1200.00
32,measure,survey,-600.00,1039.23,13,no_signal,,437.000,1200.00
33,measure,survey,-600.00,1039.23,14,no_signal,,443.000,1200.00
34,measure,survey,-600.00,1039.23,15,no_signal,,449.000,1200.00
35,measure,survey,-600.00,1039.23,16,no_signal,,455.000,1200.00
36,measure,survey,-600.00,1039.23,17,no_signal,,461.000,1200.00
37,measure,survey,-600.00,1039.23,18,no_signal,,467.000,1200.00
38,measure,survey,-600.00,1039.23,19,no_signal,,473.000,1200.00
39,measure,survey,-600.00,1039.23,20,direction,274.27,479.000,1200.00
40,clear,survey-clear,-48.29,517.72,8,success,,635.837,1959.18
41,measure,survey-clear,600.00,1039.23,2,no_signal,,808.240,2791.20
42,measure,survey-clear,600.00,1039.23,3,no_signal,,814.240,2791.20
43,measure,survey-clear,600.00,1039.23,4,no_signal,,820.240,2791.20
44,measure,survey-clear,600.00,1039.23,5,direction,347.79,826.240,2791.20
45,measure,survey-clear,600.00,1039.23,6,no_signal,,832.240,2791.20
46,measure,survey-clear,600.00,1039.23,7,no_signal,,838.240,2791.20
47,measure,survey-clear,600.00,1039.23,9,no_signal,,844.240,2791.20
48,measure,survey-clear,600.00,1039.23,10,no_signal,,850.240,2791.20
49,measure,survey-clear,600.00,1039.23,11,no_signal,,856.240,2791.20
50,measure,survey-clear,600.00,1039.23,12,no_signal,,862.240,2791.20
51,measure,survey-clear,600.00,1039.23,13,no_signal,,868.240,2791.20
52,measure,survey-clear,600.00,1039.23,14,no_signal,,874.240,2791.20
53,measure,survey-clear,600.00,1039.23,15,no_signal,,880.240,2791.20
54,measure,survey-clear,600.00,1039.23,16,direction,346.98,886.240,2791.20
55,measure,survey-clear,600.00,1039.23,17,no_signal,,892.240,2791.20
56,measure,survey-clear,600.00,1039.23,18,direction,101.19,898.240,2791.20
57,measure,survey-clear,600.00,1039.23,19,no_signal,,904.240,2791.20
58,measure,survey-clear,600.00,1039.23,20,no_signal,,910.240,2791.20
59,measure,survey-clear,1200.00,0.00,2,no_signal,,1156.240,3991.20
60,measure,survey-clear,1200.00,0.00,3,no_signal,,1162.240,3991.20
61,measure,survey-clear,1200.00,0.00,4,no_signal,,1168.240,3991.20
62,measure,survey-clear,1200.00,0.00,5,direction,88.79,1174.240,3991.20
63,measure,survey-clear,1200.00,0.00,6,no_signal,,1180.240,3991.20
64,measure,survey-clear,1200.00,0.00,7,no_signal,,1186.240,3991.20
65,measure,survey-clear,1200.00,0.00,9,no_signal,,1192.240,3991.20
66,measure,survey-clear,1200.00,0.00,10,no_signal,,1198.240,3991.20
67,measure,survey-clear,1200.00,0.00,11,no_signal,,1204.240,3991.20
68,measure,survey-clear,1200.00,0.00,12,no_signal,,1210.240,3991.20
69,measure,survey-clear,1200.00,0.00,13,no_signal,,1216.240,3991.20
70,measure,survey-clear,1200.00,0.00,14,direction,249.42,1222.240,3991.20
71,measure,survey-clear,1200.00,0.00,15,no_signal,,1228.240,3991.20
72,measure,survey-clear,1200.00,0.00,16,direction,103.33,1234.240,3991.20
73,measure,survey-clear,1200.00,0.00,17,no_signal,,1240.240,3991.20
74,measure,survey-clear,1200.00,0.00,18,no_signal,,1246.240,3991.20
75,measure,survey-clear,1200.00,0.00,19,no_signal,,1252.240,3991.20
76,measure,survey-clear,600.00,-1039.23,2,direction,217.62,1498.240,5191.20
77,measure,survey-clear,600.00,-1039.23,3,no_signal,,1504.240,5191.20
78,measure,survey-clear,600.00,-1039.23,4,no_signal,,1510.240,5191.20
79,measure,survey-clear,600.00,-1039.23,6,direction,205.51,1516.240,5191.20
80,measure,survey-clear,600.00,-1039.23,7,no_signal,,1522.240,5191.20
81,measure,survey-clear,600.00,-1039.23,9,direction,147.39,1528.240,5191.20
82,measure,survey-clear,600.00,-1039.23,10,no_signal,,1534.240,5191.20
83,measure,survey-clear,600.00,-1039.23,11,direction,350.98,1540.240,5191.20
84,measure,survey-clear,600.00,-1039.23,12,no_signal,,1546.240,5191.20
85,measure,survey-clear,600.00,-1039.23,13,no_signal,,1552.240,5191.20
86,measure,survey-clear,600.00,-1039.23,14,direction,48.03,1558.240,5191.20
87,measure,survey-clear,600.00,-1039.23,15,no_signal,,1564.240,5191.20
88,measure,survey-clear,600.00,-1039.23,17,no_signal,,1570.240,5191.20
89,measure,survey-clear,600.00,-1039.23,19,no_signal,,1576.240,5191.20
90,clear,survey-clear,345.31,-875.55,9,success,,1641.790,5493.95
91,measure,survey-clear,-600.00,-1039.23,1,direction,90.28,1839.664,6453.32
92,measure,survey-clear,-600.00,-1039.23,2,direction,338.57,1845.664,6453.32
93,measure,survey-clear,-600.00,-1039.23,3,no_signal,,1851.664,6453.32
94,measure,survey-clear,-600.00,-1039.23,4,no_signal,,1857.664,6453.32
95,measure,survey-clear,-600.00,-1039.23,6,direction,312.68,1863.664,6453.32
96,measure,survey-clear,-600.00,-1039.23,7,no_signal,,1869.664,6453.32
97,measure,survey-clear,-600.00,-1039.23,10,no_signal,,1875.664,6453.32
98,measure,survey-clear,-600.00,-1039.23,11,no_signal,,1881.664,6453.32
99,measure,survey-clear,-600.00,-1039.23,12,no_signal,,1887.664,6453.32
100,measure,survey-clear,-600.00,-1039.23,13,no_signal,,1893.664,6453.32
101,measure,survey-clear,-600.00,-1039.23,15,no_signal,,1899.664,6453.32
102,measure,survey-clear,-600.00,-1039.23,17,no_signal,,1905.664,6453.32
103,measure,survey-clear,-600.00,-1039.23,19,direction,83.83,1911.664,6453.32
104,measure,survey-clear,-600.00,-1039.23,20,direction,84.84,1917.664,6453.32
105,measure,survey-clear,-1200.00,0.00,3,no_signal,,2163.664,7653.32
106,measure,survey-clear,-1200.00,0.00,4,no_signal,,2169.664,7653.32
107,measure,survey-clear,-1200.00,0.00,7,no_signal,,2175.664,7653.32
108,measure,survey-clear,-1200.00,0.00,10,no_signal,,2181.664,7653.32
109,measure,survey-clear,-1200.00,0.00,12,direction,27.76,2187.664,7653.32
110,measure,survey-clear,-1200.00,0.00,13,no_signal,,2193.664,7653.32
111,measure,survey-clear,-1200.00,0.00,15,no_signal,,2199.664,7653.32
112,measure,survey-clear,-1200.00,0.00,17,no_signal,,2205.664,7653.32
113,measure,survey-clear,-1200.00,0.00,19,direction,349.24,2211.664,7653.32
114,clear,survey-clear,-1096.43,56.84,12,success,,2240.293,7771.47
115,clear,survey-clear,-597.72,-18.66,1,success,,2346.173,8275.86
116,clear,survey-clear,-514.19,18.90,20,success,,2369.489,8367.45
117,clear,survey-clear,-501.77,-132.42,19,success,,2404.855,8519.27
118,clear,survey-clear,-233.17,-1436.53,6,success,,2676.150,9850.75
119,clear,survey-clear,194.95,-1350.89,2,success,,2768.471,10287.36
120,measure,refine,1286.56,-884.48,11,direction,253.96,3011.886,11474.43
121,clear,refine,1213.87,-1136.57,11,success,,3069.358,11736.79
122,clear,refine,959.28,-638.31,14,success,,3186.266,12296.33
123,clear,refine,1218.86,904.99,5,success,,3504.261,13861.30
124,clear,refine,974.07,952.33,16,success,,3559.128,14110.64
125,measure,refine,214.91,1586.21,18,direction,3.22,3762.927,15099.64
126,clear,refine,488.67,1601.42,18,success,,3822.764,15373.82
